method,epsilon,per_class,classifier,synthesis_seconds,train_seconds,original_pred_seconds,synthetic_pred_seconds,original_acc,synthetic_acc,synthetic_images,epochs,repeat
diffusion_dp,0.1,80,resnet20,0.5895763000007719,10.606514699999025,6.188673299999209,0.5614912999990338,0.2079,0.25125,800,5,2
diffusion_dp,0.5,80,resnet20,0.6693743000014365,10.30285670000012,6.828597199999422,0.5401497000002564,0.2006,0.2275,800,5,2
diffusion_dp,1.0,80,resnet20,0.5910242999998445,10.312389900000198,6.005328799999916,0.480106999999407,0.229,0.295,800,5,2
dp,0.1,160,resnet20,0.0768916999986686,21.46355989999938,6.9988978000001225,1.0884733000002598,0.1033,0.65,1600,5,2
dp,0.5,160,resnet20,0.0775309000000561,20.69102650000059,6.434109900001204,0.945973399999275,0.2364,0.5525,1600,5,2
dp,1.0,160,resnet20,0.0644764999997278,21.720068900000115,6.469071800000165,0.9367954999997892,0.3945,0.568125,1600,5,2
diffusion_dp,0.1,160,resnet20,1.0638426999994408,17.97543399999995,5.702543299999888,0.933118099999774,0.2676,0.445625,1600,5,2
diffusion_dp,0.5,160,resnet20,1.04421419999926,19.66660150000098,5.609538000000612,0.86559970000053,0.3621,0.44875,1600,5,2
diffusion_dp,1.0,160,resnet20,1.0459310999995068,21.51815290000013,6.30204330000015,0.9028499000014564,0.319,0.380625,1600,5,2
dp,0.1,40,resnet20,0.0124511000012716,5.071532300000399,6.396244700001262,0.2538278000010905,0.1053,0.1,400,5,3
dp,0.5,40,resnet20,0.0199995000002672,4.938277399998697,7.57803960000092,0.3006124999992607,0.1291,0.1175,400,5,3
dp,1.0,40,resnet20,0.0273631999989447,6.249880999999732,7.549416300000303,0.2790566999992734,0.1447,0.165,400,5,3
diffusion_dp,0.1,40,resnet20,0.3773136999989219,5.19423050000114,6.030227600000217,0.2560348000006343,0.1514,0.1825,400,5,3
diffusion_dp,0.5,40,resnet20,0.3017072000002372,5.8121733000007225,6.162661099999241,0.2373217000003933,0.1161,0.14,400,5,3
diffusion_dp,1.0,40,resnet20,0.3436920999993162,4.698997999999847,6.666485499999908,0.237073500000406,0.1064,0.1175,400,5,3
dp,0.1,80,resnet20,0.0381142999995063,9.93543320000026,6.398092600000382,0.4825854999999137,0.1094,0.36875,800,5,3
dp,0.5,80,resnet20,0.0443792000005487,10.04689469999903,6.178670499999498,0.4763845999987097,0.1774,0.31125,800,5,3
dp,1.0,80,resnet20,0.0396954999996523,10.448472800000673,6.164158300000054,0.5673327999993489,0.2796,0.37625,800,5,3
diffusion_dp,0.1,80,resnet20,0.6456942999993771,10.254949199999828,5.989056000000346,0.5255891999986488,0.1621,0.22375,800,5,3
diffusion_dp,0.5,80,resnet20,0.6500398999996833,10.977561699999567,6.487149900000077,0.4955389000006107,0.2382,0.34375,800,5,3
diffusion_dp,1.0,80,resnet20,0.6137518999985332,9.97590929999933,5.992496400000164,0.4760855000004085,0.158,0.2025,800,5,3
dp,0.1,160,resnet20,0.0623579999992216,22.989169700000275,6.883730100000321,1.157708900000216,0.1252,0.385625,1600,5,3
dp,0.5,160,resnet20,0.0949704000013298,20.41945929999929,6.051883399999497,0.9389315999997052,0.2774,0.4075,1600,5,3
dp,1.0,160,resnet20,0.079609899999923,20.162120299999515,6.088007399999697,0.962776099999246,0.2686,0.34125,1600,5,3
diffusion_dp,0.1,160,resnet20,1.2248274000012316,21.36834049999925,7.433987099999285,1.1385089999985212,0.2936,0.5575,1600,5,3
diffusion_dp,0.5,160,resnet20,1.277879600000233,20.05698670000129,6.006461199998739,1.0208105999990948,0.3429,0.506875,1600,5,3
diffusion_dp,1.0,160,resnet20,1.1628084000003582,19.32377149999957,6.343019500000082,0.9544017999996868,0.3268,0.44,1600,5,3
